file,result,phase,errors_number,warnings_number,errors_messages,warnings_messages
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_022.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_041.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_047.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_043D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_057D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_011.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_033.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_015D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_025.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_056D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_065D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_011.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_040.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_062D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_053.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_060.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_039.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_024.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_053.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_004D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_054.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_002.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_064.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_061.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_062.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_023.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
